sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
240,378,04,2008.49,933.92,1859.96,1.45
386,241,05,1558.31,840.19,1386.24,1.59
383,271,05,282.82,347.52,203.93,2.15
204,90,04,1343.45,951.39,1120.67,1.75
378,321,05,1897.68,780.0,1783.96,1.39
166,379,05,2494.55,968.08,2309.07,1.49
396,141,05,2540.58,1692.93,2136.73,1.76
372,381,05,1388.67,321.77,1352.25,1.26
281,309,04,1927.74,966.92,1745.49,1.53
252,258,04,2646.06,1503.83,2335.62,1.62
20,14,06,1642.54,740.49,1506.03,1.5
392,288,05,1680.26,669.89,1566.58,1.44
383,378,05,597.16,506.21,486.93,1.82
16,51,05,2162.72,895.82,2035.49,1.38
107,166,05,1744.78,900.06,1594.48,1.48
396,248,05,4153.88,2355.75,3513.63,1.8
288,5,04,772.29,315.57,723.86,1.41
241,368,04,2219.52,879.57,2071.52,1.44
237,130,04,1720.81,705.0,1606.65,1.43
229,210,04,476.3,402.54,396.37,1.71
264,138,04,430.25,352.36,350.91,1.83
212,380,04,917.5,392.48,862.49,1.38
52,351,04,3028.31,894.68,2909.02,1.32
371,24,04,1102.29,476.89,1028.96,1.41
390,69,05,1957.12,1531.21,1595.77,1.8
128,176,05,636.51,424.9,535.88,1.76
107,386,05,1027.85,678.09,887.16,1.67
291,383,04,1213.0,711.54,1060.0,1.67
108,376,05,488.21,504.35,309.12,2.78
321,309,06,1018.88,477.04,919.26,1.57
242,13,04,1035.41,260.65,1011.35,1.22
112,400,06,342.69,471.93,217.44,2.39
133,209,05,3477.58,2630.49,2875.75,1.76
241,23,04,1427.67,643.88,1302.48,1.52
141,110,06,449.4,314.31,388.96,1.64
166,164,04,2566.79,1187.53,2321.21,1.57
145,374,04,1004.81,626.02,921.88,1.43
164,184,04,1047.08,803.42,847.29,1.86
336,241,04,1919.62,1028.24,1688.08,1.67
333,271,04,1145.76,924.07,914.58,1.87
341,191,04,791.92,640.23,648.87,1.78
344,161,04,2125.92,836.55,1812.65,2.06
378,94,06,1241.57,841.82,1083.41,1.6
130,220,06,1367.17,620.31,1270.6,1.42
198,320,04,1024.18,749.17,886.18,1.61
192,380,04,1336.59,611.7,1231.43,1.47
110,86,06,1366.16,943.84,1144.9,1.77
51,396,06,1502.86,470.57,1442.7,1.32
65,256,06,942.31,599.47,797.47,1.84
52,386,06,2344.15,1132.74,2136.56,1.51
98,27,06,1542.33,826.31,1364.41,1.61
59,316,06,1591.02,897.25,1424.18,1.56
329,388,05,1945.61,870.04,1806.94,1.44
294,191,05,258.64,248.84,152.83,3.24
64,266,06,2009.04,1470.44,1689.63,1.72
279,341,05,1047.0,630.91,905.4,1.7
297,5,04,2412.6,1166.47,2235.22,1.43
297,161,05,2264.52,930.47,2097.39,1.47
291,86,06,1439.85,962.19,1193.31,1.87
297,26,06,1762.69,699.97,1653.18,1.41
276,371,05,1795.55,783.75,1646.46,1.51
290,96,06,889.11,300.52,854.18,1.3
66,390,06,616.26,525.19,460.0,2.09
278,351,05,2864.69,894.19,2751.08,1.31
88,347,05,3073.9,1533.73,2759.14,1.57
93,297,05,2015.58,844.75,1830.74,1.58
95,277,05,918.99,548.14,828.0,1.54
40,246,06,1156.61,638.36,1004.26,1.75
176,383,06,1403.3,715.72,1263.23,1.55
198,400,04,2313.62,1352.81,1960.92,1.79
151,316,04,1733.23,1065.81,1546.27,1.56
386,271,04,744.59,616.69,558.75,2.13
378,351,04,669.99,467.12,587.57,1.63
243,107,04,890.23,554.84,774.96,1.67
362,291,05,1149.83,570.49,1044.07,1.52
51,228,05,1599.44,861.68,1461.55,1.47
376,151,05,1948.9,902.79,1732.82,1.7
366,251,05,627.83,382.82,536.49,1.71
385,281,04,824.8,686.61,682.4,1.79
116,25,05,444.2,411.92,297.41,2.49
112,65,05,227.91,304.59,148.36,2.33
397,161,04,1058.48,923.17,871.42,1.73
